strategy_name,n,is_after_tax,tax_rate,year,start_value,gross_return,dividend_income,ending_value_pretax,realized_capital_gain,net_taxable_gain,capital_gains_tax_paid,dividend_tax_paid,tax_paid,loss_carryforward,ending_value_aftertax,cash,spx_return,turnover
Top_3_MarketCap,3,False,0.3,2015,10000.0,0.01263845425,244.3269462,10126.38454,-417.289789,0.0,0.0,0.0,0.0,0.0,10126.38454,2.273736754e-12,0.01383759922,0.2929907745
Top_3_MarketCap,3,False,0.3,2016,10126.38454,0.0974128031,165.1521531,11112.82405,1.086982527,0.0,0.0,0.0,0.0,0.0,11112.82405,1.421085472e-12,0.1195991208,0.009512831068
Top_3_MarketCap,3,False,0.3,2017,11112.82405,0.4123926285,181.0116615,15695.67076,32.61594522,0.0,0.0,0.0,0.0,0.0,15695.67076,0.0,0.2183160148,0.01173919347
Top_3_MarketCap,3,False,0.3,2018,15695.67076,0.04051425085,201.7548134,16331.56911,129.0613491,0.0,0.0,0.0,0.0,0.0,16331.56911,2.330580173e-12,-0.04384241745,0.03247871807
Top_3_MarketCap,3,False,0.3,2019,16331.56911,0.5887609972,217.3565789,25946.96002,194.1823544,0.0,0.0,0.0,0.0,0.0,25946.96002,0.0,0.3148637099,0.01617859565
Top_3_MarketCap,3,False,0.3,2020,25946.96002,0.5450158469,236.4226578,40088.46441,6099.571322,0.0,0.0,0.0,0.0,0.0,40088.46441,0.0,0.183988269,0.2647341651
Top_3_MarketCap,3,False,0.3,2021,40088.46441,0.3163589054,240.9869685,52770.80713,1511.392804,0.0,0.0,0.0,0.0,0.0,52770.80713,0.0,0.2870536836,0.2384574047
Top_3_MarketCap,3,False,0.3,2022,52770.80713,-0.2997854705,251.7402831,36950.88589,103.706996,0.0,0.0,0.0,0.0,0.0,36950.88589,0.0,-0.1811088748,0.006969675068
Top_3_MarketCap,3,False,0.3,2023,36950.88589,0.5431677676,273.5995065,57021.41608,27.56860974,0.0,0.0,0.0,0.0,0.0,57021.41608,3.240074875e-12,0.2628765887,0.005017236171
Top_3_MarketCap,3,False,0.3,2024,57021.41608,0.2481200482,350.9133315,71169.57259,9294.692686,0.0,0.0,0.0,0.0,0.0,71169.57259,7.275957614e-12,0.2501967984,0.3199736918
Top_3_MarketCap,3,True,0.3,2015,10000.0,0.01263845425,244.3269462,10126.38454,-415.1230147,-415.1230147,0.0,73.29808386,73.29808386,415.1230147,10053.08646,9.094947018e-13,0.01383759922,0.2944018527
Top_3_MarketCap,3,True,0.3,2016,10053.08646,0.0974128031,163.9567278,11032.38579,1.991293938,-413.1317207,0.0,49.18701834,49.18701834,413.1317207,10983.19877,2.273736754e-13,0.1195991208,0.00904365222
